views	likes
17158579	787425
1014651	127794
3191434	146035
2095828	132239
33523622	1634130
1309699	103755
2987945	187464
748374	57534
4477587	292837
505161	4135
5068229	263596
3153224	28451
218	30
5718766	127477
960747	31810
1531218	53961
557883	44558
1496225	16116
308568	19541
1096327	33966
817732	23663
343168	10172
3905245	53072
4204818	187890
549374	16832
348841	27089
370827	12150
653398	27773
92280	11045
178447	4339
585425	36207
116676	4324
3597410	128127
925222	85016
82	20
191353	3307
721066	30576
182330	14901
524623	34460
2340941	200598
36311	277
3684	4
286231	2530
1637172	100779
458964	4903
172720	10736
28992	1409
3641421	218587
10588371	132738
268111	447
141253	14354
234983	2358
207532	7473
628340	37121
9548677	190085
900014	3273
32	3
11636	1375
9368	75
788935	15535
731639	13794
146900	1377
137210	381
325851	8998
25887	0
274190	6303
29234	37
13433	74
1846670	26611
116344	5068
56077	1713
5029621	39098
210478	905
256426	12656
33167	304
320964	8069
187075	2443
341389	44134
17626	230
261603	4276
1300826	3333
439507	2557
2519	224
116820	1503
1788176	178236
56407	734
378352	16566
5541767	263919
319817	1796
469779	2560
961644	62033
786155	37126
150974	220
70448	1538
379	86
193241	18731
19859	1070
28808	597
2736733	58967
119180	9763
166818	465
1010	90
203332	3391
102766	294
756959	9976
70463	5992
374640	17351
197183	1077
19646	159
264577	487
20163	44
600	254
33032	2143
873333	22248
100666	3573
78178	65
2642930	115795
260199	4833
1504950	108635
140099	6140
282743	23037
152118	9642
72253	1217
100394	1619
30001	221
62915	1007
351181	2206
387221	2159
141148	1661
164110	725
43665	644
399208	3023
231745	10958
87890	577
223871	8422
341134	18017
1107916	1807
170707	1152
946859	37986
275669	13106
650469	17003
482153	76203
211868	5610
496192	1503
375652	23771
35401	1309
190106	6646
183670	10020
265303	1475
219605	24237
2742984	70743
93198	607
721270	25232
778516	32322
117022	466
16921	187
174130	4565
107331	206
1842393	99086
32941	149
27910	3360
1388115	17378
161971	6130
12603	90
125273	3897
403223	2344
248993	10984
122282	0
943626	52806
1639	86
549498	11618
58675	390
13293	111
624328	7100
694624	20783
294947	16263
40454	2
291697	2623
635236	5945
544770	7848
1547309	17913
387351	9814
235156	13078
586	55
758492	11936
632747	4330
29616	156
10037	33
212040	10217
157289	1895
236040	29389
1237072	26947
318474	1857
2649977	193479
1836419	28647
1611093	58474
2765121	35531
3701763	56562
462490	14132
977285	87617
445043	8976
1529652	63996
971117	50402
853635	43655
1032547	34751
184	33
1503131	20618
20539417	840642
555499	23818
443131	27026
754502	15082
2188675	88100
4326684	167696
1025278	14065
295217	4854
340175	32580
15537	58
16337	23
459497	14281
4752153	48776
2508912	144816
2253298	4632
983365	60984
237611	1807
829132	25110
79246	801
394709	25188
260276	7465
15800	88
1928003	56175
990009	85649
863116	20518
680801	36910
2455165	47921
172461	5077
293235	1502
271606	22787
3497179	199699
187026	786
1231992	36466
580516	4793
49	15
3164460	64815
4972464	307330
3897195	31125
303877	1658
384635	3820
249090	5491
352054	11598
5776317	278236
128316	5972
27497	706
115736	4186
275726	13083
107318	876
591632	3231
1001985	36944
370423	2904
419965	9805
404217	2295
70987	889
758998	19138
11810	1
157049	2197
148993	5019
246591	6281
198004	15812
89444	753
61778	375
48421	2978
167426	10576
1893816	60703
623627	47807
39082222	1721384
1099318	26813
545806	4193
810533	18996
577618	37369
133345	10065
2010343	9400
446733	33259
166512	3165
2671756	12699
41029	296
187643	9323
10093	124
1651358	41670
560691	18085
33754	83
913840	9438
29014	1954
55192	4684
399491	6240
76484	1798
15431	267
4734409	60348
5156718	198368
26926	401
157590	14465
136789	295
334598	15069
523181	19398
49231	3388
418230	29932
4851	31
96334	483
66438	216
104643	259
567803	43269
347848	10046
391642	4378
1663206	38322
405955	30369
286273	1264
1544710	12417
16825	102
109639	722
249735	5642
45662	219
214480	20837
533561	15499
198666	1110
52967	3083
1013926	43638
124697	906
6236	28
339499	3298
185267	14896
37857	163
697151	56579
179243	14112
571588	386
166458	1825
1215475	18646
643350	33747
573	133
102591	1766
584612	2102
860583	98526
437979	8787
146	23
4200230	140100
5792827	48443
1012191	7769
116314	3819
1088925	90341
30843	80
51102	437
149138	2624
311936	2627
58633	1189
639326	38129
1670638	46666
86797	1668
250174	2671
1562510	50710
474689	7061
454790	14853
289855	1924
309388	2908
86826	1167
46905	228
527677	38597
41534	8542
12974558	216320
250837	3775
3635	67
988066	31614
84605	4338
617754	1923
2010012	111876
114216	4319
13742	81
821725	24922
0	0
192550	16263
790665	32185
220893	15261
410	30
110981	4590
351660	527
233803	12837
306485	9573
163926	1118
11810521	142237
541428	1128
814126	71050
102835	666
891912	122350
3979891	151850
5531707	72727
2900560	37330
2223948	76807
3842156	43972
1147169	31832
1961066	142740
2893243	202959
17862	1013
415096	8687
3621389	141682
645569	11541
807094	30687
2918106	93040
1012513	20036
52323	806
1451881	16654
156	50
1470628	64893
1803724	57470
1496471	43974
788000	10315
260982	474
1088036	51347
1177957	185759
748481	20756
1559003	29898
520049	28187
612112	44648
381026	2267
313325	8762
1621002	49600
387902	24443
193382	1908
808317	49439
964813	17124
552895	32570
5386	7
3715529	86803
714815	37261
155875	1660
821704	29004
611039	25022
240897	13088
1610930	85208
640625	3186
558307	44085
332798	2175
4576001	172379
1251180	32186
11914	31
957709	5618
177233	736
2401239	61196
2325233	91111
941274	45924
126547	4214
161482	936
5168203	51975
291634	1531
539148	8033
124458	11571
74	29
158478	2165
345227	35222
40508	495
1146278	23315
144217	9856
254436	4331
72049	721
534571	12633
332343	8534
227565	16484
149076	8060
1267473	111445
864235	51588
411960	20809
1489178	113033
939129	64757
153736	1387
19024	106
627820	25647
2584165	147110
1279800	75010
623803	17286
367032	18645
35112	597
139558	2405
2510664	0
68011	457
65122	287
103858	3639
12940	440
171236	3123
52205	164
21839	28
338908	25407
22702386	869304
18764	79
262736	10637
1825705	77531
418661	8631
202125	6055
7742	761
7966	410
700691	3262
128390	10890
333097	11690
45546	143
3663	2
1037561	716
535562	5306
67136	648
79058	1366
936130	21642
574778	7517
284546	9974
212206	22470
154151	576
231961	5803
121133	809
144146	1002
1300267	13055
248362	6887
122087	1261
228385	674
190197	2349
73231	48
1119857	10926
2333278	11373
1423971	83358
551409	3243
59846	517
587752	11891
46381	212
1099126	58223
110153	4929
63079	727
655758	10357
443751	5302
7494	136
195715	7670
316645	6637
285091	15716
3594708	202546
207430	13372
296324	1962
1283032	37562
435391	24586
175637	6432
1502902	11298
1327882	4321
294701	12200
314071	4216
467088	9228
5085080	311511
40407	0
177648	6932
860406	20489
4031523	31751
70493	584
180487	1242
163524	8632
24236	306
387955	20680
7889	220
29	15
955180	203
289277	2909
2008095	64453
196775	5888
493	74
229515	9435
111484	808
164870	1693
298675	7437
86493	3422
1141	0
90299	1794
319114	1581
30590	886
277600	16620
1187	0
99466	5578
294237	5750
574248	38734
1275537	43760
61215	2424
186276	13990
3090	108
32029	125
255034	1427
97571	4313
36	10
206367	7225
347414	4448
267039	3852
889198	61662
6659676	223822
4722974	119111
1603415	65599
3495474	41976
2486210	83813
67330	1155
1333817	35951
397983	5666
2585193	40778
128	33
4281966	46971
2167114	151277
337185	37109
3018010	207433
333089	6745
1380730	41392
1223069	23939
115331	3002
329318	21146
482932	11645
554732	15248
392458	1467
2935330	281104
2336528	6729
791834	10359
1117510	61075
1164713	88543
3300683	98182
501670	28310
684257	11956
212803	4134
505886	23207
1028474	19155
304193	567
2682800	41046
1577533	67286
324544	10121
334497	12594
394281	42935
677167	31301
323829	4131
1664684	234160
313793	20657
2128788	61484
141104	8572
533948	12136
212024	1993
804363	39819
136041	6228
95700	6608
400148	18713
1159690	53363
575434	29299
132315	5623
26967	91
177515	5487
243241	11292
304673	20116
1090890	47482
1292174	54948
235536	2193
685641	8969
454559	2686
986574	36300
4373507	94443
137072	1661
2366	199
736829	18708
814832	4141
655161	21013
736556	14610
694996	50171
134340	10608
134235	13802
598162	34920
717731	27558
1532904	47589
772213	10074
70	32
10164	29
416189	2107
1276326	70960
3483755	789764
7610	13
1843479	91834
225900	13614
1374748	25510
1117997	50950
244039	1216
320851	12241
641309	25588
111329	4145
2752866	63989
1942315	136703
1177611	6509
82447	728
185781	2899
75479	3242
178977	14355
68998	3141
68352	1028
41504	36
471268	43663
132088	7346
169967	2164
1351046	33596
406851	23981
677463	6070
867802	23523
28513	1224
704337	28123
492183	11490
135510	5044
277980	12183
222825	15453
46254	546
67378	1057
1901318	17182
73765	6929
4737269	175762
1693011	84669
645577	28017
205448	24121
998444	47800
180342	573
1263566	79060
122728	9876
118097	3774
145581	2008
50490	80
13889	142
279979	7099
187691	1136
188341	760
1790057	90854
377233	2341
5277237	53089
96846	4679
160816	11380
80586	1582
28939	229
463992	25840
117628	957
794338	31491
28632	323
1595201	117962
324707	1092
566332	17240
216137	3619
464981	13585
41065	408
2666	214
354088	12929
154668	4792
51461	2299
358881	12351
243083	2666
107088	1131
293017	1742
22279	29
916731	83323
655537	4842
295094	9270
2656622	149105
95216	11265
94640	2024
652467	32665
8018	403
52570	3891
487929	15866
40266	2045
325333	2750
317426	2784
60282	768
305153	28799
310494	8566
129777	4471
1884763	135815
206823	13814
670446	95714
1762418	12532
39133	613
478560	9225
259007	13453
138609	498
57741	354
68193	0
24578152	891283
92629	4689
546892	5855
181513	9238
	
1494393	4701
296049	839
647820	8122
102299	11331
8291139	254160
8072982	174945
6451949	150019
3014068	115005
7797259	94548
517275	1912
521011	13512
1235481	13805
617545	7017
804878	35094
3252728	10779
1291361	16081
287346	1178
781343	76311
85684	1481
3631775	43038
142922	3763
18558186	1002566
523234	6762
1178020	21696
625022	35886
118429	383
456491	22922
1654828	109422
1158594	25081
2635714	87053
1406451	37209
158	53
2244679	174921
1206	60
4716036	395289
54690	979
2286953	156920
563518	50725
1816989	47925
295577	6456
4558472	48624
803802	36813
770478	18565
111389	1368
213134	13718
366048	14743
646615	68814
1285629	24686
271865	14515
561843	29344
3158597	19584
114688	3761
1593275	61135
173225	807
90474	101
559594	29391
341851	5440
296595	23688
355233	15095
544230	17911
3121392	210644
1248432	64410
823285	89056
370622	22356
241436	11523
87	25
1183659	49506
880358	10371
44	14
98810	514
16795	21
556595	20287
4340962	396796
416061	11991
213189	11081
102540	9066
582019	17558
3447230	100566
413234	2380
204596	14396
32438	116
215077	8455
323501	611
710476	12395
1069416	19475
329733	726
4193	445
351347	34911
256518	5025
324300	15246
3058843	44741
156809	3475
181851	1490
759465	33415
8703	369
167696	3569
292011	13976
53164	3459
175582	3240
16708	160
480203	2843
186849	1822
189676	2206
303417	7756
878051	57652
64563	258
54458	3586
1641496	68544
641173	3960
194720	19163
164269	14815
486287	31084
488546	3239
180385	6612
420629	1751
2242229	63341
175969	1683
198605	705
1581664	58138
51541	200
249592	4464
107804	2066
484423	28135
94699	616
3411918	70498
114743	1515
534517	3552
1447525	45408
432537	19751
100403	485
203806	11218
278147	10515
35741	470
704358	125902
198917	5795
218191	10057
348532	4246
1611877	27286
960271	8827
81759	5896
596888	29736
2812994	61589
147835	4963
254539	2288
2251398	19574
246852	2638
1568291	97313
98671	4776
436560	14900
240325	580
19484	0
882248	4458
288958	9031
146034	510
244645	20895
756962	22854
392494	15477
592585	12747
288228	1384
149999	13081
4799436	98414
418689	40628
490399	18910
799694	19416
914063	31150
304373	1495
138544	2015
358247	3052
329429	30515
52797	1790
186948	547
99726	735
336907	18768
58678	213
49018	3724
653056	37634
491410	12056
270451	976
1448352	76718
3103327	66270
608317	32555
149322	12287
207093	8111
364124	26995
695263	11947
438492	20384
677914	15263
63336	3936
102357	7878
527	102
113575	755
57440	1216
748327	52654
1129476	17163
751525	77458
709727	5271
2002223	95909
4746854	157941
9779219	283197
11072585	119373
9856767	201288
29943556	1388756
4263588	137033
1089539	12443
794755	13428
8533826	180591
1280763	54022
1914518	292385
1785835	57075
2331121	10674
555519	30697
704226	11546
1135585	39608
258437	3040
212930	2074
999580	40746
581541	2234
1865674	28953
1769200	26953
1245237	73015
4116378	13120
1982	130
1383242	109641
549455	14634
1458340	15135
150	44
640614	23088
504312	6032
41	9
194738	6818
580406	3710
672764	29213
1248405	89205
367040	1437
72297	548
1652105	31946
413551	3859
6587	3
115206	1217
95717	1608
653604	55147
315834	28309
8584	1044
1962534	9023
581091	7318
377230	1987
75910	2752
1273621	19496
2959054	415046
86	32
1339902	69723
245551	1089
161110	717
344878	11251
1905799	127154
2490776	186307
396346	11277
1540436	125458
175735	12486
196691	11326
1435	71
33653	323
1795369	115580
523258	0
149731	6380
75478	569
1828173	9404
128884	399
291124	5504
2173621	74326
5514929	439190
137346	4207
495360	17845
555	57
352803	14097
1497824	38000
675410	15600
484697	30656
388965	7747
1850483	207816
2282759	84883
752893	34496
323570	25841
8915	27
131218	3836
614411	23213
382304	20309
658567	4018
403498	6532
807588	4574
1875142	11394
185171	1967
151622	7074
621271	53223
205778	689
667573	17068
108146	3563
2071266	51068
194792	1784
221666	4012
245419	905
171066	8721
288418	18423
729370	34255
926121	39732
2742344	89376
845295	14957
6705901	471761
2415668	162209
204945	1569
8976	360
140665	529
2928	14
72797	384
247309	17479
254724	10994
1186167	12525
855475	23255
133583	621
832340	19480
1380378	67383
298900	25293
148843	1706
115938	2139
310614	7560
4738425	49678
1709342	18324
566129	20474
199171	3809
421569	6428
100589	134
28384	200
30515	1407
164837	5904
80212	285
1315527	25054
364279	4339
661661	22800
241973	1953
3716275	43697
527651	7608
413204	29251
253583	1820
95304	4923
172223	1093
1188326	25951
146852	5153
83227	2233
405877	23250
322818	14604
153305	4372
76865	1471
266102	12643
139021	4113
884573	86125
176432	21778
1329506	66170
169321	6999
164313	2090
768648	42031
483363	22777
43902	2029
226965	12828
54654	418
109029	1416
259043	1766
567182	5387
163776	1103
26701	594
245126	10805
268776	13535
706353	19916
16532	677
1114865	9570
15263	179
803919	17930
263531	27080
175662	10239
39976	451
194837	2283
70596	3758
284017	12495
910398	28074
556363	24315
718976	4221
80799	2484
356135	641
249959	2221
382782	5854
679693	19264
24576	93
9920833	262451
4575521	295651
12776633	130539
602009	6424
1726301	21400
2326516	69580
528802	9828
2306720	63362
38647842	1600404
1274403	50344
9421291	191296
10729515	300466
1566953	98393
10663409	210254
1470325	17047
2089986	29210
5253309	150650
7664480	104442
220455	29819
128	33
1586915	82660
3454048	411011
1487848	58918
1174413	76342
498567	16751
894312	11209
1909709	134565
1535199	153770
992247	69528
208319	40281
911828	13702
253763	2290
142031	592
333924	3644
165139	3497
739196	7649
333989	9503
12205	247
1101988	43550
833085	55074
374362	10154
462672	16668
54885	545
198777	1784
2282	154
1700973	89139
1700053	122584
1923738	35159
716925	24506
32	9
670962	32068
5620985	550029
318147	1826
1233850	80295
165942	4409
604008	29409
4251667	14290
743069	4784
3098960	62490
155495	2101
204640	1462
92	32
367147	1164
559365	14893
1647994	99766
