x,y
431130,392763
211248,448884
469970,87525
21505,296918
255519,118093
477182,67502
455276,72292
164476,178032
188456,76170
268743,72209
241400,327863
357226,462913
411243,15241
146030,307458
417387,298246
356730,10756
472430,291085
248217,177727
335212,208093
490713,281164
362379,168065
299823,412737
93975,200534
2807,16935
470157,248443
127193,24440
205558,264756
477160,64410
225713,204059
28261,126003
25897,222819
327552,426601
309094,150794
492798,329719
183775,169499
182390,467501
141453,410429
427573,273733
80986,82460
90625,112093
218200,312594
161403,257142
337807,412593
214109,36744
398,274479
23747,377696
329923,13295
486759,424823
48229,143976
445476,173328
29870,1140
77532,10029
434983,141911
162709,363246
45275,52522
242846,308104
207597,324451
294031,12670
308806,57795
430606,255679
330246,111228
234958,135323
222652,42332
82322,117923
476433,249402
142352,198172
226238,167932
446672,459168
390525,473442
136627,56433
1373,35027
156721,12923
349904,464803
46778,477093
216447,455741
401630,178035
5021,40755
445481,290299
272600,341151
62342,129441
442284,234996
492740,230610
18065,28070
39030,445529
59029,186291
266324,434434
28741,471308
307006,291881
230212,396996
160929,325342
274046,253589
268210,242999
126774,23785
204536,81745
418492,420331
63398,412293
195866,387978
101766,69379
46189,479943
39793,263374
16209,176668
180378,427188
401269,162377
110122,325991
184654,226780
90150,173693
400488,381948
482894,282305
474359,143731
497183,30323
321675,24181
71511,187843
312673,61553
303416,399493
345174,95987
86405,46417
20118,263347
356266,313659
261587,308510
386553,205290
202386,51486
156431,34230
405088,362921
185141,89891
85730,312675
284193,280245
395881,289425
252253,238095
303459,338459
374815,177131
101358,76509
356760,277816
241064,18347
129065,452107
180099,366206
141294,266340
400788,324031
496510,340159
378186,217806
117643,65842
391067,420399
480452,444137
396410,402866
469819,465788
226725,174590
297440,211018
258619,477882
314507,278037
445963,411575
493241,63993
455047,200189
77134,166666
455960,495569
285913,358633
241866,160352
472565,339938
30984,233674
499243,290694
153955,81613
491605,176800
405387,45005
150494,247509
318688,391518
42629,206781
205986,60302
341248,453593
84741,69137
475036,19696
393857,250953
220771,125386
39109,487794
246007,182056
340011,140488
38842,418813
465959,470518
218224,228557
293241,20956
312860,399329
152706,397212
136007,493732
303923,292577
331680,330302
29856,161164
372765,201226
16596,408380
260895,446741
366718,241081
136852,261366
31529,160894
82165,323588
1802,492992
327952,269945
314802,61887
100992,398145
376515,450921
329432,217950
386848,201029
325055,262876
278717,404546
447092,330860
156693,330077
163347,178143
13978,13833
273968,241441
433510,384542
138720,432431
496337,102688
381208,27094
2108,25867
133613,239850
286249,497848
119193,416095
432974,157775
416447,56488
39134,435753
259654,424969
484711,193408
162786,348059
212379,79541
85904,175100
442054,109438
3391,483985
440894,439498
208652,66201
457721,460402
312230,153678
390360,36318
489297,470107
12864,270641
437638,327125
282281,424467
353559,44759
226608,109497
138543,362174
254599,85746
64344,251517
156557,325616
2806,475294
415480,370065
357425,69526
163757,177098
28465,62148
436530,472367
294786,309254
266716,202401
235990,417047
11234,301204
484713,295721
369074,151324
314016,36603
44673,262676
22891,424823
69150,128970
176778,369995
98304,481674
451819,219233
166174,24934
372721,184957
18685,441471
315088,109875
290468,94834
324725,122051
250731,498530
285667,354898
356338,229342
344664,423974
99182,437230
347726,329565
66590,283775
349213,358411
351100,477001
334109,430894
23310,447386
69674,264527
358748,273825
202848,87480
90813,241336
244518,292492
294314,291087
260391,136967
225908,441969
183611,190548
12337,257653
243588,479557
404657,199012
248564,25842
400015,5889
316044,325649
260514,336282
496863,451854
390516,492170
315350,8551
30794,397064
410956,33543
189026,165583
302777,151645
186715,126443
90572,482424
241262,174493
455282,417089
445946,233259
485043,376533
255805,348935
161435,35678
392798,38682
462806,166829
214503,67629
392373,392821
491473,321268
156973,426375
10199,175128
405822,16262
234317,499007
65553,342790
469641,34137
435451,112838
66399,298922
110078,363943
98794,5391
195759,166568
133446,274959
404690,266048
354907,60927
51233,467959
180788,22578
179372,463040
406510,405276
361818,45207
143084,11809
442221,422035
373319,75806
20580,250729
161698,213267
385370,342109
452187,329100
114155,207461
56190,79083
9111,168732
289428,87028
275423,331071
403768,171061
229389,256999
206186,424431
326192,59940
60861,250085
209828,531
218987,475712
135024,263484
306056,28668
363113,376138
303795,421587
383732,434567
41449,329988
154281,192020
297556,197856
7859,297218
78049,147825
289107,49104
71471,280550
313861,341281
349795,447935
256442,124409
28345,245618
421508,302196
108980,11544
12304,55555
32471,7768
7790,425988
110732,141613
291628,409788
147137,473974
401248,372980
383699,6682
328388,152749
99778,498549
297596,138754
193156,273316
177203,70361
75349,243977
301539,5637
191724,35099
156212,199483
282953,199630
106364,102606
463339,376730
279684,302601
99390,99755
173067,195017
370929,262660
178467,481909
407685,287536
189849,436666
350210,51751
69299,70599
432580,74169
191218,40066
345362,284282
86743,31974
96367,193482
185730,85946
146505,150271
363029,218606
121391,261970
3191,332052
234816,288803
420660,116441
341503,487114
188226,342655
111682,308315
310206,154264
350697,480853
32501,85953
308555,260071
342815,200121
119948,387871
462597,409148
166220,260209
397859,370848
113241,352000
150601,133611
482500,56172
408091,433935
441745,354328
275480,36739
164904,248342
404408,396160
72552,231538
365391,62485
243291,95992
247374,278663
425253,402371
459016,463144
378646,206050
140850,465650
179167,7817
30980,458529
152929,285906
384284,278826
197697,171437
132226,6364
332503,89099
346085,232882
209318,447203
362756,233585
297606,190304
75722,215492
421949,451623
217392,116082
273164,216648
137478,400121
495077,123104
62445,450217
174362,206121
38555,214399
6833,498111
236865,243836
367957,330191
386762,235330
371398,418142
455129,133483
415343,215827
31541,198245
478200,218370
253505,280526
36018,185750
369860,221544
203696,65338
488519,224408
110901,24645
305436,279361
424328,440672
410940,376920
255492,178708
15145,301444
394060,417909
254610,357429
200187,347333
272469,396382
120282,114438
31518,88495
70987,280384
389582,8723
389794,311947
354775,472835
465012,39290
182659,360005
166471,451300
453589,32901
337929,338256
243815,485197
383260,469788
134162,106564
43086,399274
276076,173409
324328,426248
307820,465227
186204,342522
275465,482511
99361,393542
142592,142908
130716,94780
47892,34238
240660,127936
319536,348373
46983,27574
59048,213105
307131,78664
138718,179692
287596,246486
369856,240004
452708,364635
464142,343476
352458,496281
27257,218159
455217,336992
442119,418872
239248,13696
157556,80256
41874,158600
320786,114397
43268,10202
259248,440771
358604,464461
18969,170145
142265,8062
372692,228219
347957,130004
144105,325600
496822,162863
251555,488743
316564,153933
216944,344363
73622,439480
193445,391680
477605,119247
404542,18320
295234,912
489220,7639
494515,228287
146024,125911
196344,194069
80203,124825
22268,185575
477152,420769
14951,35762
447177,145004
387824,74400
287838,213737
22832,169818
311564,122737
493874,63211
438489,168132
165926,354252
32230,235554
115029,52849
483342,480258
100782,484623
361579,289266
455487,209480
491448,213612
220575,192629
337488,191666
182088,211438
261045,88454
104963,369369
434989,158152
244156,382413
72295,66316
487732,277026
379676,176471
484948,335576
439536,265750
434303,488160
436759,167227
21377,173194
212276,157045
62724,85643
498397,465579
155873,487179
273754,147637
382771,321929
369068,427544
126695,443820
106475,431643
30479,257479
74888,300202
311703,290599
294801,245927
185711,213820
477683,186919
55078,115170
416697,329232
214744,168555
33298,412238
231198,6250
102353,98284
128035,29246
291470,462773
415671,497658
486538,19527
490237,83821
350895,167792
16159,65203
106326,412136
339521,392215
242722,400043
65203,73507
139114,265681
12799,353158
331124,415052
201539,174304
87869,468702
296633,300205
48213,267092
277105,442636
239079,192194
453216,448650
411510,93980
176466,276080
89218,87343
323098,239238
67882,109242
472651,115714
104172,206412
233471,118801
100264,435579
279828,296577
38659,379838
186967,268425
210086,25352
444024,330229
484102,487426
314973,322577
120831,311651
132018,92753
329242,271182
295486,192156
407534,469160
108530,158323
204898,467317
155418,98497
469232,477583
79382,339808
303110,281601
474530,383877
131270,109670
227312,95146
118221,116985
76600,299287
401488,158072
423974,175403
298114,314010
395857,432140
248274,394122
206092,301833
244657,275648
123669,138185
166994,9210
416747,305010
450410,216124
11581,316567
55767,328033
153118,253791
263389,185628
292436,111694
312363,165008
166959,290674
20733,413960
399063,346380
72314,53875
119070,471865
207997,213344
185396,398013
482609,110899
318554,100075
474165,366145
388494,268818
373215,50125
484997,149031
115453,19679
329366,462923
63990,236030
322739,118362
430511,57450
249043,482288
112234,175960
83083,91991
426121,10027
424539,361361
206416,163147
432036,170398
267592,293861
194807,346795
406144,108799
339913,212023
476462,265238
130467,135939
131668,211350
68597,350550
138269,86485
15690,284682
286086,272620
154391,30070
107737,74643
220749,33049
350549,260024
254031,96640
23466,399484
303581,258868
281216,447946
238030,335747
170455,416085
486460,81513
224488,36205
338745,481626
176651,340221
213216,194255
260338,435972
273479,76267
428050,344077
272592,447177
400034,482670
51070,368740
372925,21210
77476,7810
364609,242243
230009,118430
192057,242031
278824,399313
499256,365814
107620,276284
239868,423318
140089,414548
356690,377842
342461,259978
270552,321357
126822,347798
261469,209215
245109,176127
96197,402067
196240,24298
297737,67069
376333,398557
189499,65210
67177,84751
15847,94021
346201,59214
431668,466803
433304,269132
70378,21517
156256,149382
288590,496232
292052,244626
373097,88482
23065,439589
326919,200058
36740,196127
80762,73004
385902,94356
262207,34921
295493,332471
470168,498383
56700,150085
426873,64778
225987,31083
236126,403558
184049,440852
456217,438992
407549,27123
332586,484680
232108,244874
155398,299781
429125,485909
289146,406725
172065,204054
396585,234063
424350,56542
266673,292584
192850,71156
190188,236333
35676,424421
67218,258355
155478,145448
389756,194905
192646,117132
349731,249415
178645,116065
431143,281798
178103,264608
288940,440251
420744,257784
10718,120609
469432,385526
139541,180834
60445,432880
141299,46962
255944,146894
195051,134760
242386,434453
305820,499065
222356,98129
135098,415635
147637,108927
78798,144435
394942,315316
52404,213891
92362,479310
408322,29588
31481,488725
309640,417715
70787,92141
311826,206123
296938,417562
32747,309912
316361,229168
200988,193731
467241,301271
129938,120767
292914,293079
227806,232382
463773,134630
103189,318352
83016,186827
357976,362938
363299,328238
222862,369999
39784,472126
448557,258894
378312,176542
335479,431383
318207,335277
135233,449739
437481,482512
139343,148031
280527,86847
110203,319612
31193,208041
480085,23255
205000,99812
261476,388936
281051,258549
128011,34857
307246,269304
173958,64461
36484,293197
437683,129466
366713,305119
171598,272164
247802,5586
404789,17064
319440,431880
419306,480865
15703,246448
297623,132235
310220,335885
251243,294898
227077,19230
301475,76405
401851,60398
27556,41661
202531,426490
154276,54004
299482,491707
115848,228292
15518,354416
498152,176365
428921,222345
34639,101089
156792,429393
357951,313376
232955,199257
425905,169580
497125,107869
307674,269576
26290,58102
129993,217714
494408,279323
440524,381369
67527,150773
232498,41597
146746,478430
89708,473986
44207,302804
27885,140752
51171,396831
375921,58123
22678,339069
63993,386026
315326,46119
161012,142197
137144,201378
178905,305632
128857,135844
248624,180574
29218,381728
342577,277220
308562,271088
233829,484764
473333,73502
18729,88162
261338,443855
255440,484703
300003,117548
459464,414111
40885,476911
56309,328177
214128,230982
18425,372251
47640,276391
61173,265879
48945,18545
397769,106029
1898,414010
348791,246606
77776,115290
40646,118603
476707,414899
11746,113424
435397,249947
235329,484481
42638,236552
164257,184303
287582,344856
138604,51286
32650,142713
72285,457590
60535,375899
321821,431244
140517,387024
296038,320621
336962,85469
11305,489535
83552,235489
97770,126739
47232,301470
246409,133122
483309,176232
348188,134499
89926,207913
281175,347015
264275,380815
290894,214897
402681,59699
40913,191765
361544,278407
153558,178540
202001,469755
360085,126257
483733,257931
7244,248348
93689,455977
443843,260856
42710,23810
478570,228642
318188,492656
279006,113792
205111,166780
13706,324060
151834,403949
166826,126172
309367,359154
23307,126560
267872,268679
227503,361879
158728,146439
330956,237885
316691,10863
459540,377237
99692,478667
185167,92351
363893,404991
198116,479031
410585,328468
236695,376874
194398,184573
238252,49909
52982,375684
114505,343900
202132,311190
239994,14915
498779,59848
409870,226668
394162,225477
21567,6542
16564,248725
174223,313359
310628,175467
180686,458366
328446,331947
246935,255439
280041,426870
376538,158548
58472,171987
377333,23188
90192,247964
454715,55786
89939,471874
137622,365245
427963,412062
56777,245463
153330,16758
32366,415077
497086,421256
410751,112394
279882,96501
342288,70720
396064,277357
336057,327884
393043,481139
248977,207325
439000,73804
396053,61889
455540,272618
180009,312003
492976,380240
320597,335717
115210,201697
111889,332149
27654,251529
75227,232080
207489,59911
215077,411184
492069,328981
419948,38227
255257,480854
162658,64650
179056,247995
196749,294266
419074,474898
474665,468178
136343,74956
485128,182697
